lat,lng,name,location,mday,total,bikes,parks
25.03804,121.55042,RenAi DunNan Traffic Circle  (East),"No. 121, Sec. 4, RenAi Rd.",2024-06-23 08:17:29,16,0,16
25.02187,121.52912,GuFeng Park,"No. 7, Ln. 93, LongQuan St. (Opposite)",2024-06-23 08:50:30,15,6,9
25.03276,121.54907,DunHua S. Rd. & XinYi Rd. Intersection (Southeast),"No. 9, Sec. 2, DunHua S. Rd.",2024-06-23 08:50:31,20,7,13
25.04159,121.53780,ZhongXiao E. Rd. & JianGuo S. Rd. Intersection (Southeast),"No. 132, Sec. 3, ZhongXiao E. Rd.",2024-06-23 08:50:31,21,19,2
25.02324,121.52618,"Ln. 26, PuCheng St.","No. 8, Ln. 26, PuCheng St. (Opposite)",2024-06-23 08:41:20,17,15,2
25.01524,121.55121,Qingfeng Activity Center,"Sec. 3, XinHai Rd. (Qingfeng Activity Center)",2024-06-23 08:49:20,25,18,7
25.07894,121.51121,Yanping Public Housing,"No. 1-1, Sec. 5, Yanping N. Rd. (Opposite)",2024-06-23 08:50:31,30,16,14
25.07410,121.51349,Taipei Public Library DaTong Branch,"No. 318, Sec. 3, Chongqing N Rd.",2024-06-23 08:43:20,20,1,19
25.07717,121.50934,Hechang Temple,"No. 371, Sec. 2, Huanhe N. Rd.",2024-06-23 07:38:19,15,10,4
25.06864,121.51070,Minzu Rd. & Yanping Rd. Intersection,"No. 123, Sec. 3, Yanping N. Rd. (North)",2024-06-23 08:51:20,36,14,17
25.07158,121.51368,Chongqing Rd. & Jiuquan St. Intersection,"No. 260, Sec. 3, Chongqing N. Rd.",2024-06-23 08:46:20,44,21,23
25.06647,121.51650,Shude Park,"No. 12, Ln. 85, Dalong St. (Opposite)",2024-06-23 08:44:15,14,13,1
25.05601,121.50895,Chen Tian-lai Residence,"No. 112, Xining N. Rd.",2024-06-23 08:42:20,16,11,5
25.07378,121.51583,Taipei Confucius Temple,"No. 61, Hami St. Intersection (Opposite)",2024-06-23 08:45:21,37,1,36
25.07133,121.52024,MRT Yuanshan Sta. (Exit 1),"No. 235, Jiuquan St.",2024-06-23 08:50:31,44,34,8
25.07220,121.51057,Jiuquan St. & Yanping Rd. Intersection,"No. 235, Jiuquan St.",2024-06-23 08:46:20,41,17,24
25.07567,121.51862,Chongqing Junior High School,"No. 19, Dunhuang Rd.",2024-06-23 08:21:20,49,4,45
25.07598,121.51409,"Ln. 383, Sec. 3, Chongqing N Rd. Intersection","Dunhuang Rd. & Ln. 383, Sec. 3, Chongqing N Rd. Intersection",2024-06-23 07:59:20,25,17,8
25.07447,121.52003,DigiBlock Taipei,"No. 287, Sec. 3, Chengde Rd.",2024-06-23 08:49:15,24,23,1
25.06326,121.51099,Minquan Rd. & Yanping Rd. Intersection (Northwest),"No. 239, Minquan W. Rd.",2024-06-23 08:34:14,20,20,0
25.06327,121.50943,Minquan Rd. & Dihua St. Intersection,"Minquan W. Rd. & Sec. 1, Dihua St. Intersection (Under Bridge)",2024-06-23 08:36:20,47,31,16
25.05915,121.51033,Dadaocheng Park,"No. 7, Ln. 1, Anxi St. (Opposite)",2024-06-23 08:50:31,35,26,9
25.06853,121.51729,Dalong Old People Housing,"No. 82, Minzu W. Rd.",2024-06-23 08:36:19,14,5,9
25.07080,121.51826,Dalongdong Social Housing,"No. 210, Sec. 3, Chengde Rd.",2024-06-23 08:28:14,20,0,20
25.06314,121.51308,MRT Daqiaotou Sta. (Exit 2),MRT Daqiaotou Sta. (Exit 2) (West),2024-06-23 08:48:20,57,33,24
25.06325,121.51162,MRT Daqiaotou Sta. (Exit 1A),"No. 237, Minquan W Rd.",2024-06-23 08:36:15,18,17,1
25.06174,121.51969,MRT Minquan W. Rd. Sta. (Exit 2),MRT Minquan W. Rd. Sta. (West),2024-06-23 08:50:31,25,1,24
25.05826,121.52063,MRT Shuanglian Sta. (Exit 2),"No. 22, Wanquan St. (Opposite)",2024-06-23 08:49:20,41,10,31
25.04991,121.51040,MRT Beimen. (Exit 3),Tacheng St. & Zhengzhou Rd. Intersection (Southwest),2024-06-23 08:51:20,62,31,31
25.05592,121.51367,Zhaoyang Park,"No. 62-1, Sec. 2, Chongqing N. Rd.",2024-06-23 08:50:31,10,0,9
25.05454,121.51052,Yongle Market,"No. 103, Ln. 233, Nanjing W. Rd.",2024-06-23 08:50:30,38,4,34
25.07049,121.51596,Dalong Park,"No. 217, Dalong St. (Opposite)",2024-06-23 08:48:20,18,2,16
25.06054,121.51338,Chongcing Rd. & Liangjhou St. Intersection,"No. 180, Sec. 2, Chongcing N. Rd.",2024-06-23 08:44:20,13,2,11
25.06867,121.51993,Linear Park - Yuanshan,Minzu Rd. & Minzu W. Rd. Intersection (Northwest),2024-06-23 08:43:20,14,2,12
25.05369,121.51418,Yuanhuan,"No. 128, Sec. 1, Chongcing N. Rd.",2024-06-23 08:51:20,31,2,29
25.06853,121.51359,Chongcing Rd. & Minzu Rd. Intersection,"No. 162, Sec. 3, Chongcing N. Rd.",2024-06-23 08:38:20,26,15,11
25.06407,121.51822,"Ln. 8, Sec. 3, Chengde Rd. Intersection","No. 14, Sec. 3, Chengde Rd.",2024-06-23 08:16:18,21,7,14
25.04925,121.51468,Tai Yuan Guang Chang,"No. 23, Zhengzhou Rd.",2024-06-23 08:50:31,31,24,4
25.06594,121.51078,Guoshun Park,"No. 117, Changji St.",2024-06-23 08:44:20,20,2,18
25.05205,121.50818,Taipei City Hospital Zhongxing Branch,"No. 299, Chang'an W. Rd. (Opposite)",2024-06-23 08:45:22,40,2,38
25.06011,121.51729,Chiang Wei-shui Memorial Park,Jinxi St. & Xingcheng St. Intersection (Southwest),2024-06-23 08:50:31,36,23,12
25.07491,121.51150,Dihua Recreational Sports Park,"No. 200, Sec. 4, Yanping N. (South)",2024-06-23 08:28:19,15,14,1
25.06496,121.51608,Taipei DaTong Sports Center,"No. 51, Dalong St.",2024-06-23 08:51:20,16,16,0
25.05918,121.51373,Chongqing Rd. & Bao'an St. Intersection,"No. 171, Sec. 2, Chongqing N. Rd.",2024-06-23 08:50:31,20,13,7
25.05662,121.50783,Dadaocheng Wharf,Dadaocheng Evacuation Gate,2024-06-23 08:47:20,52,22,26
25.05805,121.51353,Guisui Park,"Sec. 2, Chongqing N. Rd. & Guisui St. Intersection (South)",2024-06-23 08:38:19,20,7,13
25.06322,121.51440,Min-Quan Junior High School (Minquan W. Rd.),Minquan W. Rd. & Lanzhou St. Intersection (West),2024-06-23 08:45:21,17,4,13
25.06247,121.51839,Chengde Rd. & Minquan Rd. Intersection,"No. 239, Sec. 2, Chengde Rd.",2024-06-23 08:48:15,17,1,16
25.05366,121.51638,Nanjing Rd. & Taiyuan Rd. Intersection,Nanjing W. Rd. & Taiyuan Rd. Intersection (East),2024-06-23 08:47:20,18,10,8
25.05756,121.51828,Chengde Rd. & Minsheng W. Rd. Intersection,"No. 137, Sec. 2, Chengde Rd.",2024-06-23 08:47:20,11,4,7
25.05646,121.51698,Taiyuan Rd. & Wuyuan Rd. Intersection,Taiyuan Rd. & Wuyuan Rd. Intersection (Southeast),2024-06-23 08:33:20,32,16,16
25.04937,121.51914,Taipei Bus Station (Huayin St.),"No. 45, Huayin St. (Opposite)",2024-06-23 08:33:19,20,5,15
25.06129,121.52021,MRT Minquan W. Rd. Sta. (Exit 3),"No. 37, Ln. 70, Minquan W. Rd. (Opposite)",2024-06-23 08:35:21,50,15,35
25.05296,121.51938,MRT Zhongshan Sta. (Exit 5),"No. 57, Nanjing W. Rd.",2024-06-23 08:50:25,15,1,14
25.05150,121.51398,Chongqing Rd. & Chang'an Rd. Intersection,"No. 244, Chang'an W. Rd. (Sec. 1, Chongqing N. Rd.)",2024-06-23 08:45:22,15,5,10
25.06587,121.51847,Chengde Rd. & Changji St. Intersection,"No. 83, Sec. 3, Chengde Rd.",2024-06-23 08:51:20,18,10,5
25.05658,121.50826,Datong Plaza No.16,"Sec. 1, Huanhe N. Rd. & Minsheng W. Rd. Intersection (Southeast)",2024-06-23 08:46:20,14,11,3
25.07182,121.51929,MRT Yuanshan Sta. (Exit 2),"Sec. 3, Chengde Rd. & Kulun St. Intersection (Southeast)",2024-06-23 08:50:31,37,28,8
25.06669,121.51615,Shude Park,"Dalong St. & Ln. 85, Dalong St. Intersection (Northeast)",2024-06-23 08:47:19,40,36,4
25.04879,121.51626,Chengde Rd. & Zhengzhou Rd.  Intersection,"Sec. 1, Chengde Rd. & Zhengzhou Rd. (Under  Elevated Bridge)",2024-06-23 08:47:19,38,37,1
25.06036,121.51996,ChengYuan High School,"Jinxi St. & Ln. 52, Jinxi St. Intersection (Northeast)",2024-06-23 08:38:20,14,5,9
25.06157,121.51683,ShuangLian Elementary School,"No. 25, Aly. 4, Ln. 102, Minquan W. Rd. (Opposite)",2024-06-23 08:38:20,20,12,8
25.06095,121.51428,Ningxia Rd. & Liangzhou St. Intersection,"No. 141, Ningxia Rd. (Opposite)",2024-06-23 08:34:19,15,9,6
25.06092,121.51126,Yanping Rd. & Liangzhou St. Intersection,"Sec. 2, Yanping N. Rd. & Liangzhou St. Intersection",2024-06-23 08:47:20,14,7,7
25.06603,121.51481,Datong District Admin. Center,"No. 63, Changji St.",2024-06-23 08:49:20,16,14,1
25.07473,121.51451,Dalong Market,"No. 13, Ln. 335, Sec. 3, Chongqing N. Rd. (Opposite)",2024-06-23 08:50:31,15,11,4
25.07563,121.51815,"Aly. 19, Ln. 23, Hami St.","No. 78, Dunhuang Rd.",2024-06-23 08:40:31,23,18,5
25.06289,121.51544,"Ln. 160, MinQuan W. Rd.","Ln. 160, MinQuan W. Rd. (West)",2024-06-23 08:47:20,15,11,4
25.08128,121.51784,Jiantan Pumping Station,"Ln. 325, Tonghe St. Intersection",2024-06-23 08:33:20,17,6,6
25.08914,121.51542,Tonghe E. St. & Danan Rd. Intersection,"No. 192, Sec.1, Tonghe E. St. (Side)",2024-06-23 08:31:19,15,8,7
25.08695,121.51901,Fugang St. Parking Lot,"No. 175, Hualing St. (Side)",2024-06-23 08:46:20,22,20,2
25.08521,121.51918,Bailing Elementary School,"No. 104, Qiangang St. (Opposite)",2024-06-23 08:50:31,50,35,15
25.10277,121.53357,"Ln. 165, Yusheng St. Intersection","Ln. 165, Yusheng St. Intersection (Northwest)",2024-06-23 08:37:20,25,10,15
25.12011,121.53357,Tianhe Park,"No.30, Ln.69, Tianmu E. Rd. (Front)",2024-06-23 08:51:20,16,1,15
25.11856,121.52964,Zhongshan & Tianmu Rd. Intersection,"No. 3-55, Tianmu W. Rd. (Front)",2024-06-23 08:51:20,29,25,4
25.11633,121.53414,Tianmu Sports Park,"Ln. 207, Sec.2, Zhongcheng Rd. (Southeast)",2024-06-23 08:50:30,50,12,37
25.11356,121.53718,University of Taipei (Tianmu Campus),"No. 276-280, Shidong Rd. (Opposite)",2024-06-23 08:49:20,48,8,40
25.11127,121.53244,"Ln. 53, Sec. 2, Zhongcheng Rd.","No.7, Ln. 53, Sec. 2, Zhongcheng Rd. (Opposite)",2024-06-23 08:51:20,18,16,2
25.11341,121.53195,Taipei Tianmu Baseball Stadium,"No. 122, Sec. 2, Zhongcheng Rd. (Opposite)",2024-06-23 08:51:20,26,21,5
25.12011,121.52652,Tianmu N. Rd. & Tianyu St. Intersection,"No. 33, Tianmu N. Rd.",2024-06-23 08:45:22,15,1,14
25.11184,121.52589,Lanxing Park,"Sec. 6, Zhongshan N. Rd. & Shidong Rd. Intersection (Northwest)",2024-06-23 08:46:19,48,36,12
25.08009,121.51895,Mingsheng Park,"No. 71, Ln. 6, Sec.4, Chengde Rd. (Opposite)",2024-06-23 08:41:20,14,7,5
25.07994,121.52426,Chientan Youth Activity Center,"Sec. 4, Zhongshan N. Rd. & Tonghe St. Intersection",2024-06-23 08:50:31,23,19,4
25.10813,121.53040,"No. 173, Sec. 1, Zhongcheng Rd. Intersection","No. 177, Sec. 1, Zhongcheng Rd.",2024-06-23 08:39:18,11,2,7
25.10540,121.52950,Yunong Elementary School,"No. 127, Sec. 1, Zhongcheng Rd.",2024-06-23 08:49:20,14,1,13
25.10399,121.52593,Zhongcheng Park,"No. 18, Sec. 1, Zhongcheng Rd.",2024-06-23 08:40:31,25,4,21
25.10155,121.52832,Zhishan Pumping Plant,"No. 47, Sec. 2, Zhicheng Rd.",2024-06-23 08:48:20,46,36,10
25.10186,121.53083,"Ln. 305, Sec. 1, Zhicheng Rd. Intersection","No. 303, Sec. 1, Zhicheng Rd.",2024-06-23 08:43:20,21,6,15
25.08302,121.52069,Hualing Park,"No. 76, Jiantan Rd. (Opposite)",2024-06-23 08:50:31,32,20,12
25.08671,121.52096,Qiangang Park(Fude Temple),"Ln. 134, Hougang/Hougang St. Intersection",2024-06-23 08:40:31,18,10,6
25.08828,121.51985,"Ln. 185, Hualing St.","No. 188, Hualing St.",2024-06-23 08:50:31,12,9,3
25.08480,121.52125,Qiangang Park (Qiangang St),"No. 48, Qiangang St. (Opposite)",2024-06-23 08:48:20,19,16,3
25.08736,121.52272,Bailing High School,"Ln. 179, Sec. 4, Chengde Rd. Intersection",2024-06-23 08:44:19,15,6,9
25.10364,121.52219,MRT Zhishan Station,"No. 151, Fuhua Rd. (Opposite)",2024-06-23 08:51:20,21,10,11
25.10208,121.51979,Taiwan Traditional Theatre Center,"No. 751, Wenlin Rd. (South)",2024-06-23 08:24:20,25,6,18
25.08388,121.52535,MRT Jianta Station,"No.18, Jihe Rd. (Opposite)",2024-06-23 08:39:18,49,7,42
25.08403,121.52490,Jiantan Rd & Jihe Rd Intersection,Jiantan Rd. & Jihe Rd. Intersection,2024-06-23 08:48:20,66,21,41
25.09667,121.53206,Zhicheng Park,Jhongjheng Rd & Yunong Rd. Intersection (Northwest),2024-06-23 08:39:19,23,15,8
25.09896,121.53025,Fu-Lin Elementary School,"No. 50, Fuzhi Rd. (Opposite)",2024-06-23 08:27:21,14,4,10
25.09651,121.52753,"Sec. 5, Jhongshan N. Rd & Jhongjheng Rd Intersection","No. 609, Sec. 5, Jhongshan N. Rd.",2024-06-23 08:28:19,19,8,11
25.08911,121.52154,Shihlin Sport Center,"No. 1, Shishang Rd.",2024-06-23 08:51:20,30,14,16
25.09164,121.51706,Yangming High School,"No. 510, Zhongzheng Rd.",2024-06-23 08:36:19,36,14,22
25.09631,121.51449,Taipei Children's Amusement Park,"No. 55, Sec. 5, Chengde Rd.",2024-06-23 08:51:20,23,13,10
25.09598,121.51776,Taipei Astronomical Museum,"No. 363, Jihe Rd.",2024-06-23 08:51:20,46,19,27
25.09619,121.52230,Huasheng Park,"No. 17, Huasheng St. (South)",2024-06-23 08:49:20,35,15,11
25.09419,121.52833,Fulin Park,"Sec. 5, Zhongshan N. Rd. (Northwest)",2024-06-23 08:38:19,25,5,20
25.09343,121.52642,MRT Shilin Station (Exit 2),"No. 2, Aly. 44, Ln. 505, Sec. 5, Zhongshan N. Rd. (Opposite)",2024-06-23 08:50:31,30,7,23
25.08771,121.52677,Ming Chuan University Taipei Campus,"No. 250, Sec. 5, Zhongshan N. Rd.",2024-06-23 08:33:20,26,13,13
25.09435,121.51702,Shilin High School of Commerce,"No. 150, Shishang Rd.",2024-06-23 08:31:35,26,3,23
25.10991,121.53039,Lanya Park,"Ln. 40, Sec. 2, Zhongcheng Rd. Intersection (Southwest)",2024-06-23 08:43:20,38,16,22
25.10455,121.53195,Taipei City Hospital Yangming Branch,"No. 105, Yusheng St. (South)",2024-06-23 07:59:20,25,12,13
25.10225,121.52286,MRT Zhishan Sta. (Exit 1),"No. 114, Fuhua Rd. (Opposite)",2024-06-23 08:49:20,36,14,22
25.10143,121.53585,Zhicheng Park,"No. 80, Sec. 1, Zhicheng Rd. (Opposite)",2024-06-23 08:33:19,20,18,2
25.10113,121.55159,Indigenous People's Park,"No. 280, Sec. 2, Zhishan Rd. (Opposite)",2024-06-23 07:38:19,21,6,15
25.09106,121.51502,"Ln. 10, Sec. 2, Tonghe E. St. Intersection","No. 5, Sec. 2, Tonghe E. St. (Opposite)",2024-06-23 08:47:20,15,7,8
25.09755,121.54036,Meilin New Village,"Sec. 1, Zhishan Rd & Ln. 138, Sec. 1, Zhishan Rd (North)",2024-06-23 08:34:19,15,2,13
25.08678,121.50948,Yanping N. Rd & Zhongzheng Rd Intersection,"No. 403, Zhongzheng Rd",2024-06-23 08:44:20,30,24,6
25.08505,121.51166,"Ln. 190, Sec. 4, Chongqing N. Rd Intersection","No. 198, Sec. 4, Chongqing N. Rd",2024-06-23 08:31:35,13,7,6
25.08393,121.51169,"Sec. 4, Chongqing N. Rd.& Hudong St Intersection","No. 177, Sec. 4, Chongqing N. Rd.",2024-06-23 08:13:19,15,10,5
25.08254,121.50750,Hulu Elementary School,"Sec. 3, Huanhe N. Rd & Hulu St. (Northeast)",2024-06-23 08:34:19,30,14,16
25.10459,121.52417,Shilin Plaza,"No. 81, Sec 6, Zhongshan N. Rd.",2024-06-23 08:51:20,38,13,25
25.08824,121.51054,Shezheng Park,"No. 39, Shezhong St. (Opposite)",2024-06-23 08:45:21,15,13,2
25.09058,121.50142,Shezi Elementary School,"No. 476, Shezhong St. (Opposite)",2024-06-23 08:31:20,15,10,5
25.09346,121.50376,"Ln. 384, Shezhong St Intersection","No. 194, Sec. 2, Tonghe W. St. (Opposite)",2024-06-23 08:09:21,18,7,11
25.10641,121.52944,"No. 138, Sec. 1, Zhongcheng Rd","No. 138, Sec. 1, Zhongcheng Rd. (Diagonally across)",2024-06-23 08:32:20,15,5,9
25.09020,121.50622,Shezi Park,"Aly. 37, Ln. 20, Yongping St & Aly. 11, Ln. 20, Yongping St Intersection.",2024-06-23 08:06:21,32,15,14
25.09833,121.54788,National Palace Museum,"No. 8, Lixing St. (Opposite)",2024-06-23 08:42:20,17,5,12
25.09763,121.53402,Taibei High School,"No. 240, Fulin Rd.",2024-06-23 08:37:20,16,2,14
25.09312,121.51419,Hougang Park,"No. 26, Sec. 2, Tonghe E. St. (Side)",2024-06-23 08:07:20,15,8,6
25.08279,121.51219,"No. 117, Sec. 4, Chongqing N. Rd","No. 117, Sec. 4, Chongqing N. Rd.",2024-06-23 08:37:20,18,8,9
25.10893,121.46639,Daotou Park,"No. 323, Sec. 9, Yanping N. Rd. (Back)",2024-06-23 08:49:20,22,7,15
25.10304,121.48297,"Ln. 133, Sec. 8, Yanping N. Rd Intersection","No. 67, Ln. 133, Sec. 8, Yanping N. Rd Intersection. (Opposite)",2024-06-23 08:15:22,22,9,13
25.10640,121.48360,Kuntian Temple,"No. 15, Ln. 96, Sec. 8, Yanping N. Rd.",2024-06-23 06:24:19,14,11,3
25.11314,121.48974,Shezidao Wetlands Service Center,Shezidao Wetlands Service Center,2024-06-23 08:40:31,15,9,6
25.10261,121.48819,Fu'an Junior High School,"No. 250, Sec. 7, Yanping N. Rd.",2024-06-23 08:06:21,25,16,9
25.09669,121.49706,Taipei City Fire Department of Fuan Station,"No. 42-7, Sec. 7, Yanping N. Rd. (Opposite)",2024-06-23 08:49:20,15,8,7
25.10696,121.53234,Shengshan Greens,"No. 94, Zhongyi St.",2024-06-23 08:49:20,15,1,14
25.11044,121.53595,Zhishan Elementary School,"No. 285, Dexing E. Rd. (Ln. 283, Dexing E. Rd)",2024-06-23 08:38:20,38,12,19
25.08899,121.51751,Shilin New Village,"No.325, Danan Rd.",2024-06-23 08:51:20,29,22,7
25.10775,121.52312,Lanya Elementary School,"Huangsi St. & Ln. 195, Sec. 6, Jhongshan N. Rd. Intersection",2024-06-23 08:49:20,30,15,14
25.09330,121.51962,Jhongjheng Rd. & Jihe Rd. Intersection,"No. 420, Jhongjheng Rd.",2024-06-23 08:51:20,37,8,29
25.09609,121.53006,Fulin Park (Jhongjheng Rd.),Jhongjheng Rd. & Jhihcheng St. Intersection (South),2024-06-23 08:46:20,45,8,37
25.09709,121.54229,Jhihshan Rd. & Linsi Rd. Intersection,"Sec. 1, Jhihshan Rd. & Linsi Rd. Intersection (Southwest)",2024-06-23 08:50:31,48,19,29
25.08217,121.51074,Taipei Public Library Huludu Branch,"No. 1, Ln. 136, Sec. 5, Yanping N. Rd.",2024-06-23 08:50:31,13,5,7
25.11306,121.53945,"Ln. 110, Dongshan Rd.","No. 114, Dongshan Rd. (Opposite)",2024-06-23 08:16:19,16,6,6
25.08887,121.50314,Yongping Social Housing,"No. 2, Ln. 261, Sec. 3, Huanhe N. Rd.",2024-06-23 01:23:20,15,6,9
25.10012,121.53253,Yunong Bridge,"No. 42, Ln. 14, Fuzhi Rd. (Opposite)",2024-06-23 08:27:16,16,10,6
25.08019,121.52020,"Ln. 76, Tonghe St. & Ln. 10, Sec. 4, Chengde Rd. Intersection","No. 37, Ln. 10, Sec. 4, Chengde Rd.",2024-06-23 08:50:31,14,5,7
25.10455,121.53025,Zhishan Shengyou Temple,"No. 90, Yusheng St.",2024-06-23 08:50:31,25,6,19
25.10199,121.52927,Zhicheng Rd. & Yusheng St. Intersection,"Sec. 2, Zhicheng Rd. & Yusheng St. Intersection (Northeast)",2024-06-23 08:42:20,9,5,4
25.09812,121.52449,MRT Linear Park (Hou St.),"No. 15, Hou St.",2024-06-23 08:47:20,13,6,7
25.12408,121.53003,Tianmu Park,"No. 30, Ln. 141, Sec. 7, Zhongshan N. Rd. (Opposite)",2024-06-23 08:50:30,12,1,11
25.08637,121.52470,Jihe Rd. & Wenlin Rd. Intersection,"No. 3-1, Jihe Rd. (Opposite)",2024-06-23 08:42:19,16,2,14
25.10094,121.52243,Wenlin Rd. & Fude Rd. Intersection,Wenlin Rd. & Fude Rd. Intersection (East),2024-06-23 08:42:20,19,5,14
25.07960,121.52370,Chientan Overseas Youth Activity Center_1,"Tonghe St. & Ln. 2, Tonghe St.",2024-06-23 08:50:31,39,11,28
25.09029,121.50189,SheZi Elementary School,"Sec. 6, Yanping N. Rd./Shezhong St. Intersection (South)",2024-06-23 06:56:20,36,26,10
25.08577,121.52531,MRT Jianta Sta. (Exit 1),MRT Jianta Sta. (Exit 1) (North),2024-06-23 08:47:20,70,26,44
25.11070,121.53999,Dexing Rd. & Dongshan Rd. Intersection,Dexing E. Rd. & Dongshan Rd. Intersection (Northwest),2024-06-23 08:07:19,12,8,4
25.08756,121.51177,Chongqing N. Rd. & Tonghe W. St. Intersection,"No. 276, Sec. 4, Chongqing N. Rd.",2024-06-23 08:49:20,12,9,3
25.08406,121.50670,"Hulu Elementary School (Ln. 285, Sec. 5, Yanping N. Rd.)","Sec. 3, Huanhe N. Rd. & Ln. 285, Sec. 5, Yanping N. Rd. Intersection",2024-06-23 08:28:19,15,12,3
25.08810,121.50873,Shezi Market,"No. 67, Sec. 6, Yanping N. Rd.",2024-06-23 08:51:20,15,3,10
25.08912,121.50490,Shilin District Farmers' Association (Shezi St.),"No. 162, Shezi St.",2024-06-23 07:41:20,8,6,2
25.08410,121.52341,Chengde Rd. & Jiantan Rd. Intersection,"Sec. 4, Chengde Rd. & Jiantan Rd. Intersection (West)",2024-06-23 08:49:20,19,10,9
25.08761,121.52608,"Ln. 101, Wenlin Rd.","No. 100, Wenlin Rd.",2024-06-23 08:35:21,17,5,12
25.08408,121.50959,"Aly. 15, Ln. 257, Sec. 5, Yanping N. Rd.","No. 184, Hulu St.",2024-06-23 08:44:15,11,8,3
25.08471,121.50890,"Aly. 4, Ln. 257, Sec. 5, Yanping N. Rd.","No. 17, Ln. 257, Sec. 5, Yanping N. Rd.",2024-06-23 08:19:19,15,5,9
25.11742,121.53472,Taipei School For The Visually Impaired,"No. 200, Sec. 2, Zhongcheng Rd. (Opposite)",2024-06-23 08:50:25,16,0,16
25.10203,121.52561,Zhongshan N. Rd. & Fuguo Rd. Intersection,"No. 837, Sec. 5, Zhongshan N. Rd.",2024-06-23 08:39:19,14,2,12
25.10585,121.52376,Dexing Park,"No. 33, Dexing W. Rd. (Opposite)",2024-06-23 08:49:20,14,8,6
25.08238,121.52309,Chengde Rd & Hougang St. Intersection,"Sec. 4, Chengde Rd & Hougang St. Intersection",2024-06-23 08:01:15,20,0,20
25.09765,121.52757,"Ln. 698, Sec. 5, Zhongshan N. Rd.","No. 692, Sec. 5, Zhongshan N. Rd.",2024-06-23 08:31:20,15,11,4
25.09561,121.52552,MRT Shilin Sta. (Exit 1),"Ln. 236, Zhongzheng Rd. & Zhongzheng Rd. Intersection",2024-06-23 08:51:20,38,7,31
25.10336,121.52263,MRT Zhishan Sta. (Exit 2)_1,"Fuhua Rd. & Ln. 162, Fuhua Rd. Intersection (Southeast)",2024-06-23 08:50:31,62,37,25
25.08762,121.52711,"MCU (Ln. 280, Sec. 5, Zhongshan N. Rd.)","Ln. 280, Sec. 5, Zhongshan N. Rd.",2024-06-23 07:54:19,23,4,19
25.08036,121.50840,Haiguang Park (South),"No. 79, Hulu St. (Opposite)",2024-06-23 08:44:19,12,6,4
25.09013,121.52054,"Ln. 40, Shishang Rd.","No. 2, Ln. 40, Shishang Rd.",2024-06-23 08:50:30,15,3,12
25.08182,121.52431,Shihlin Jiantan Post Office,"Jihe Rd. & Ln. 77, Sec. 4, Chengde Rd. Intersection (Under Bridge)",2024-06-23 08:38:19,16,7,9
25.11247,121.52914,"Ln. 91, Shidong Rd.","No. 3, Ln. 91, Shidong Rd.",2024-06-23 08:44:20,16,5,11
25.09677,121.51931,Meilun Park,"No. 118, Meilun St. (Opposite)",2024-06-23 08:39:19,13,9,4
25.11642,121.53743,"University of Taipei (Ln. 270, Sec. 2, Zhongcheng Rd.)","Ln. 270, Sec. 2, Zhongcheng Rd. & Ln. 299, Shidong Rd. Intersection",2024-06-23 08:49:15,17,17,0
25.11579,121.53113,"Ln. 8, Tianmu E. Rd. & Ln. 154, Sec. 2, Zhongcheng Rd. Intersection","No. 57, Ln. 8, Tianmu E. Rd. (Opposite)",2024-06-23 08:46:20,14,7,5
25.09886,121.51835,Meilun Park (Northeast),"No. 115, Ln. 587, Wenlin Rd. (Opposite)",2024-06-23 08:42:20,15,8,7
25.09646,121.49358,Fuan Riverside Park,"No. 45, Ln. 145, Sec. 7, Yanping N. Rd. (Opposite)",2024-06-23 08:14:20,14,10,4
25.10566,121.52922,Zhongcheng Rd. & Zhongyi St. Intersection (North),"No. 125, Sec. 1, Zhongcheng Rd.",2024-06-23 08:46:19,13,4,9
25.10519,121.52869,Zhongcheng Rd. & Zhongyi St. Intersection (South),"No. 109, Sec. 1, Zhongcheng Rd.",2024-06-23 08:46:20,14,7,7
25.09204,121.52472,Shilin Elementary School,"Fude Rd. & Ln. 48, Fude Rd. Intersection",2024-06-23 08:26:19,15,6,9
25.09762,121.51321,ShuangXi Park,"Sec. 5, Chengde Rd. & No. 150, Sec. 5, Chengde Rd. Intersection (Southwest)",2024-06-23 07:02:19,15,2,12
25.07793,121.52357,Chientan Youth Activity Center (Chin Ching Building),"No. 16, Sec. 4, ZhongShan N. Rd. (Chin Ching Building)",2024-06-23 08:42:20,30,7,22
25.11836,121.53466,No.1 TianHe Park,"Ln. 69, TianMu E. Rd. & TianMu E. Rd. Intersection",2024-06-23 08:41:20,15,6,9
25.11633,121.53295,"Ln. 178, Sec. 2, ZhongCheng Rd.","No. 13, Ln. 178, Sec. 2, ZhongCheng Rd. (Opposite)",2024-06-23 08:41:19,15,6,9
25.10893,121.52319,KeGiang Rd. & HuangXi St. Intersection,KeQiang Rd. & HuangXi St. Intersection (Southwest),2024-06-23 08:42:19,14,8,6
25.10985,121.52859,LanYa Park  (West),"No. 75, Ln. 109, DeXing E. Rd. (East)",2024-06-23 08:46:20,15,6,8
25.09441,121.53285,"Aly. 77, Ln. 100, FuLin Rd.","Ln. 100, FuLin Rd. & Aly. 77, Ln. 100, FuLin Rd. Intersection",2024-06-23 01:28:19,18,12,6
